mol solvent,mol solute,target Gsolv kcal
OCC1CCCO1,CN2c1ccccc1C=CC2=O,-10.82381932
CC(C)(C)Cl,CCC(C)OC(F)(F)F,-3.6533777
CCCl,OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,-13.47686823
C#N,CC(C)CC(Cl)=O,-6.14549828
OCCCCO,FC(C)C(N)C,-5.55289169
ClC(Cl)=O,CC(=O)C(c1ccccc1)=O,-8.42037926
CCCCOCCCC,Oc2cccc3c2C(=O)c1ccccc1C3=O,-11.789689599999999
CCC(C)c1ccccc1,CCNc(ccc1)cc1C,-7.93571949
CC(C)CC(C)C,COC(F)CC,-3.03326808
ClCCCl,CCN1CCCC1,-4.87261984
OCC(C)C,CC1(C)OC(CC1C(O)=O)=O,-12.91754645
O(Cc2ccccc2)Cc1ccccc1,OCC(C)Cl,-5.17859985
ClC(Cl)Cl,CCCC(C)C(C)CC,-5.73488253
FC(F)C,FC(F)OC(F)(F)Cl,-2.68846063
OCCCCC,CC(=O)c(cc1)ccc1O,-12.58828242
CCCCOCCCC,CCCCCCCCCCCCCCCCCC=CC,-13.70382197
CO,FC(F)C(F)(C(F)F)C(F)F,-3.30606374
ClC(Cl)(Cl)Cl,OCCN1CCCC1=O,-8.56535962
CCc1ccccc1,FC(F)OC(C)(C)C,-4.55944801
COCCOCCO,CCC(N)C(C)C,-5.32023532
ICI,CCOCC1OC1,-5.72589407
CC(OCc1ccccc1)=O,c(cc1)ccc1B(c3ccccc3)c2ccccc2,-12.83510878
Cc1ccccc1N(=O)=O,Fc1ncc(F)nc1,-5.02456709
OCCCO,OC(C)COCC(C)OCC(O)C,-11.50694274
C#N,CCCCC(CC)CNCC(CC)CCCC,-15.72019632
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,Nc1ccc(cc1N)N(=O)=O,-13.10057679
CCCCCCCCC=C,Cc1ccc(cc1)N(=O)=O,-7.12370997
COCCOCCOCCOCCOC,CCC(Cl)CCl,-5.45570388
n1ccccc1,CSBr,-4.81253403
OC(C)(C)C,CSSCc1occc1,-7.51133023
CC#N,BrC(Br)=C(Br)Br,-6.90605586
Cc1ccccn1,OC(C)(CC=C)CC=C,-7.79377922
C#N,CCCCCCCCCCC1CCCCC1,-9.96748514
OCCC(C)C,Cc1ccccc1N(C)C(C)=O,-9.75465009
Cc1nc(C)ccc1,CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c2ccccc2,-18.05078035
OCc1ccccc1,CC3(C2)CC(C)(CC1(C)C3)CC2(C)C1,-6.88021924
CCCCC,O=C(Nc1ccccc1)Nc2snnc2,-13.20285347
CCCCNCCCC,ON=C2c1ccccc1C=CC2=O,-9.71238817
O=CN,OCCNc1ccccc1,-10.37088493
CN1CCCCC1=O,SC(S)=S,-8.1325231
CC(CC(C)=O)=O,Fc1cc(cc(F)c1)N(=O)=O,-6.786617
COCOC,CN1CCCN(C)C1=O,-8.66793133
OCCCCC,CNc1cccc2c1C(=O)NC2=O,-11.98973441
O=C1CCCCC1,CC(=O)c1cscc1,-8.37114809
C1OCCOC1,Nc2c1ccccc1ccn2,-11.54173561
CC(CC(C)=O)=O,COc3cc(OC)c(C1=O)c(OC21C(OC)=CC(CC2C)=O)c3Cl,-20.792329000000002
C(CC2)CCC2c1ccccc1,CC1(C)C(CC1CC2OC(C)=O)C2=C,-8.34314531
CN(C)C=O,FC(F)(F)C(F)C(C)(Cl)C(F)(F)F,-3.87104765
COC,CCNCC(F)CF,-6.195767099999999
Cc1cccc(C)c1C,CC1CSCC1,-5.55236746
ClC1CCCCC1,CC(C)OC(CF)C(F)(F)F,-4.64410483
ClC(Cl)(Cl)Cl,Oc1cc(C)c(C)c(C)c1C,-8.60601237
OCC(O)CC,CCB(Cl)CC,-3.24258347
NCCC,CCC(C)(C#C)OC(=O)N,-11.59787324
CCCCCCCCBr,OC(COc(cc1)ccc1C)=O,-9.79395641
S=C=S,CCCCC#C,-4.10890271
ClC(Cl)(Cl)Cl,CCC(Cl)C(F)(F)F,-3.59732653
O(c2ccccc2)c1ccccc1,CC(C)COC(=O)C=C,-5.81262035
CCCCCCCCCC,COC(OC)OC,-3.55813524
CI,CNCC(F)(F)F,-3.7700655
CCCCCCCCCCCCCCC,ClCC(C)CCl,-4.36000332
C1OCCOC1,C=CCOC(=O)C(C)=C,-6.09793288
COC,CC1CCC(C)C1=O,-6.45833642
c1ccccc1,CC2C(C)(C)C1=C(CCCC1=O)C2(C)C,-11.06037753
CC(=C)C#C,C2Nc1ccccc1NC2,-9.48445314
CC(C)C(C)C,IBr,-4.00444252
FC(F)C(F)C(F)(F)F,CCCC(F)(C(F)(F)F)C(F)(F)F,-3.70733728
O=S1(CCCC1)=O,CCc(ccc1C)cc1C,-5.16883723
CCCC=O,OCCNN,-6.92938599
CNC=O,OC=C(C)C,-6.52648104
OCCOCC,Nc3ccc(Nc1ccccc1)c4c3C(=O)c2ccccc2C4=O,-19.95884635
OCCCCCCCCCC,CC(C)C(Cl)C(F)(F)F,-3.8195148999999997
OCCCCCC,CC(C)(C)c1cc(C)cc(C(C)(C)C)c1O,-10.14487517
OCC(O)C,CN(C)C(C)=S,-7.56689679
COCCOCCOC,CN(C)C=NC#N,-11.885932400000002
CCCCCCCCCCCCCCC=C,CCOP(OCC)(OCC)=S,-7.83061006
CNC(C)=O,CN(C)Cc(ccc1)cc1F,-6.02664097
C(CC1)CCC1C2CCCCC2,O=c3c2ccccc2c1ccccc1c(=O)o3,-11.33370368
CCCCCCC,CCOC(C)OCC,-4.50053708
CCCCCCCC=C,CC2(C)C(C1(C)CC2CC1)OC(C)=O,-7.52494113
CCCCCCCCCCCCCC,CCN(CC)c1ccc(N=O)cc1,-8.69365845
CCC1OC1,FC(F)(F)OC(C(F)(F)F)C(F)(F)F,-2.9706641
ClC(Cl)=C(Cl)Cl,OC(=O)c(ccc1C2=O)cc1C(O2)=O,-9.95728199
OCCO,CC=CCC(C)=O,-4.9528555
NCCCN,CC=C(C)C#C,-3.41791784
CCCCCCOC(C)=O,CC(C)C1OC(C)(C)OCC1(C)C,-7.38586308
CCOC(C)(C)C,COc1ccc(cc1)N=C=S,-9.33453042
COC(OC)=O,c(ccc1c(ccc3)c2c3c4)cc1c2cc4,-11.60099096
CCCCl,FC(F)(F)OC(F)(C(F)(F)F)C(F)(OC(F)(F)F)C(F)(F)F,-1.94339532
OC(C)=O,FC(F)(CC1(F)F)C(F)C1(F)F,-3.70137694
ClCBr,CC1(C)COP(C)(OC1)=O,-12.39169745
C(CC2)CCC2c1ccccc1,Cc1ccc(cc1Cl)NC(=O)N(C)C,-12.35024026
c2nc1ccccc1cc2,CCCCC(O)C,-7.05145096
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,FC(F)CC(C)(C)C,-3.83341214
CCCCC(CO)CC,Oc2ccccc2C(=O)c1ccccc1,-10.52893707
CCN(CC)C(C)=O,OC(=O)c(ccc1)cc1Br,-13.28507227
O,CCCCCCCCCCCCC(=O)NC,-6.86093463
CCCCCN(CCCCC)CCCCC,OC(C)C(C)CCC1CC=C(C)C1(C)C,-9.21174022
Clc1ccccc1,CC2=CC(c1ccccc1C2=O)=O,-10.14230307
CCC(C)Cl,O=C1CCCC1,-5.54412731
CCCOCC(O)C,O=C1CCCCCC=CCCCCCCCCO1,-12.18892797
Brc2c1ccccc1ccc2,OCC(Cl)CO,-6.01012386
Brc1ccccc1,CC(=O)c(cc1)ccc1F,-7.44402475
OCCC,SC(=S)N1CCNCC1,-11.45221906
CC(C)c1ccccc1,COS(OC)(=O)=O,-7.07275788
O1CCCCC1,OO,-7.4542504
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CSCCC(=O)C(O)=O,-4.1847862000000005
NCc1ccccc1,CCC(=O)N,-9.54891925
Fc1c(F)c(F)c(F)c(F)c1F,ClC(Cl)C(F)(F)C(Cl)(Cl)Cl,-6.11133259
OCCCCCCCCC,CC(C)(Cl)Br,-4.40637718
COc1ccccc1,ClC(C#N)=CC#N,-6.25474095
CN1CCN(C)C1=O,CCCCSCCCC,-6.51659394
Clc2c1ccccc1ccc2,FC(C)C(F)(C)C(F)(F)F,-3.34030859
N#CCCCC#N,CC=C(C)C=C,-2.91658943
CCOC(CCC)=O,FCC(F)(C)C(F)(F)Cl,-4.36768533
OCCCCCCC,FCOC(F)=C,-2.54529393
CC(C)CC(C)=O,CCC=CC(C)(C)C,-4.24699897
CCCC#N,Fc1ccccc1N(=O)=O,-8.31970114
OCCN,CCCC(C)CC(C)C,-2.61827721
OC1CCCCC1,CC1COCO1,-4.43844422
Cc1ccccc1N(=O)=O,CCC#CC=C,-3.79736095
Cc1cc(C)cc(C)c1,CC(C)CCCCCCCCCCC=O,-11.03899898
Cc1ccccc1N(=O)=O,O=CN1CCCC1,-8.07045549
OC1CCCCC1,O=C=NC1CCCCC1,-5.78354032
CCCCCC,CCN(CC)P(Oc2ccccc2)(Oc1ccccc1)=O,-13.67504374
Ic1ccccc1,CCC(C)C(F)(F)C,-4.33412493
CC1CCCC1,N=C1NC2=C(N=CN2)C(OCC2=CC=CC=C2)=N1,-14.41309382
Brc1ccccc1,O=C1SC=CS1,-7.27637025
CCC1OC1,CCCCCCCCCCCCC(=O)N1CCOCC1,-15.64751841
Cc1ncccc1C,Cc2cc1CCCc1cc2,-6.86300975
CCC(O)(C)C,O=C(Oc2ccccc2)C(Oc1ccccc1)=O,-12.48874231
NCCC,CCCCCC=CCC=CCCCCCCCC(O)=O,-19.10776415
Oc1cc(C)ccc1,COc1ccc(CC=C)cc1OC,-10.00765518
CCCCCCOC(C)=O,CCOC(CC(F)F)C(F)(F)F,-4.93076846
ClC(Cl)C(Cl)Cl,FCCN(C)CCF,-6.66602571
Cc1ccc(C)cc1,ClC(Cl)=S,-3.76474978
OC1CCCCC1,C=CC1OC(OC1)=O,-7.61681724
C#N,O=C1CCCCC1=O,-11.19619193
OCCCCO,C(CC1)CCN1SN2CCCCC2,-8.19287657
CC1CCCCC1,CC1CCCCC1=O,-5.56573291
COC,CCCCCCCCCCCCCCN1CCCC1=O,-15.84145333
CCCCN(CCCC)C=O,Oc2cc1CCCCc1cc2,-11.87034683
Clc2c1ccccc1ccc2,CC(C)CCON(=O)=O,-5.81848302
CCCCl,CSc1nccnc1C,-8.24866154
CCCCCCCCCCCCCCC=C,FC(C)OCC(F)(F)F,-2.72834127
Cc2c1ccccc1ccc2,CCOC(=O)c1ccccn1,-8.97698344
CCCC,c1nocc1,-3.59031992
CCOc1ccccc1,FC1OC(F)(F)OC1(F)C,-4.121137999999998
CCc1ccccc1,BrCCC(O)=O,-6.66247566
BrCCBr,CCCCN(CCCC)C=O,-10.14020612
FC(F)(F)C(F)(F)C(F)(F)F,C(C(CC5C2C94)CC72C8C3C6CC(CC4C6C7)CC93CC51)C81,-9.85997831
COCCOC,CCC(CC)N(C)C,-4.51903587
Cc1ccccn1,FC(F)C(Cl)Br,-4.57062959
CCCCC(C)=O,CC(C)(C)CC=C,-3.63799472
CCCCCCCCC,N#CP(C#N)C#N,-3.8990906
OCCOCCOCC,[11CH3]NC1=CC=C(C=C1)C1=NC2=C(S1)C=C(O)C=C2,-21.34694757
CCOP(OCC)(OCC)=O,FC(F)C(F)OC(Cl)Cl,-6.30910963
CCC1OC1,OOCCCC,-6.62064042
CCCCCC,COCC(F)C(F)F,-3.22450661
S=C=S,BrCCCC(C)C,-6.35236474
CCOC(C)(C)C,CNNC,-3.65456133
CCN(CC)CC,CCC(C)(C)C=N,-4.6177542
COP(OC)(OC)=O,FC(F)(F)C(F)C(C)(C(F)(F)F)C(F)(F)F,-3.4829572
O=N(c1ccccc1)=O,CCCc1cnccn1,-7.10329323
COc1ccccc1,CCCC(F)C(F)F,-4.15201372
CC#N,CB(C)N(C)C,-3.02142952
OCCCl,FC(F)CC(N)C,-6.55338828
CC(Br)Br,FCCNC,-4.00723701
NCCCN(C)C,FC(F)C(F)C(F)C(C(F)(F)F)C(F)(F)F,-8.02604598
CN1CCCCC1=O,CCC(C)CN(C)C,-4.35101482
CC1OC(OC1)=O,C(c2occc2)c1occc1,-7.37516649
CO,C(C1)CC2C=CCC1C2,-4.70242519
Cc1cccc(C)c1C,CCCOCC(O)C,-5.77118407
CC1CCCC1,ClCCCl,-3.67326312
CCOc1ccccc1,FCC(F)(Br)C(F)(F)F,-3.46118744
CC(C)c1ccccc1,Cc1cn(C)c(=O)n(C)c1=O,-10.167725599999999
CNC=O,OCCCS,-8.22531712
CS(C)=O,Sc2[nH]c1ccccc1n2,-15.68273356
O1CCCC1,O1CC=CC1,-4.28122128
COCCOCCOC,CC(C)=C(C)C,-3.38492349
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,CB(C)N(C)C,-3.45845709
CCCCC(CO)CC,FC(F)(CC1(F)F)C(F)C1(F)F,-3.36202911
C1CCCC1,CCOc(ccc1)cc1C,-7.06428747
OCCCCC,CC(C)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,-3.32686509
CCCCNCCCC,FC(O)Cl,-7.13153032
ClC(=C)C=C,OS(=O)(=O)C1=CC2=C(C=C1)N=C(N2)C1=CC=CC=C1,-19.54383004
COCCOCCOC,Fc1cccnc1,-5.41707327
OCCC,CCCCN1CCCC1,-6.27510904
CCC(O)CC,CCCC(O)Cl,-8.195783500000001
CCCCCCCl,OC(=O)Cc1ccccc1,-8.42592578
ClC(Cl)C(O)=O,OCCSCCO,-15.87675631
OC1CCCCC1,C=CCSSSCC=C,-7.67587923
OC1CCCCC1,CCC(C)(C(F)(F)F)C(F)(F)F,-3.24640739
CCCCc1ccccc1,FC(F)C(F)(F)C(F)(C)Cl,-3.67522053
CCCCC(CO)CC,FCN=CC,-3.37560317
CC(C)C,CCC(C)C(CC)=C,-4.80671082
CCCCOC(=O)c1ccccc1C(OCCCC)=O,OC(C)CC(C)=O,-6.90625296
CCCCOC(C)=O,CCCCCCCCCOC=O,-8.48556908
Cc1cccc(C)c1C,CC1=CC=CN2C(=O)C(=CN=C12)C1=NNN=N1,-15.88683332
CCCCCCC,O=C1C(=COC2=CC=CC=C12)C1=CC=CC=C1,-11.4968514
CCCCCCC=C,CCC(C)S,-4.14723788
CC(C)CC(C)=O,CCC1(C)CCCCC1,-5.16266791
CC(C)c1ccccc1,NC(C)Cc(cc1)ccc1O,-9.19508805
OC(C)=O,Oc1ccccc1S,-8.38459304
CC(C)CC(C)C,CC(=O)c(cc1)ccc1Cl,-7.13058147
CCC(C)=C,CC(C)N=C=S,-4.76805428
CCCCOC(C)=O,CC(C)OC(=O)Cc1ccccc1,-9.01576399
CCC(C)C,FC(F)(CC1(F)F)CC1(F)F,-3.48343307
CC(C)=O,COCOC(F)(F)C,-4.57604629
CC(C)(C)c1ccccc1,FCC(F)(F)OC(F)(F)C,-3.53967827
CCCCCCCCCCCCCCC,OC(=O)c(c(Cl)c1Cl)c(C(O)=O)c(Cl)c1Cl,-11.051520300000002
CCCC,CCOC(C(C)C)=O,-4.75476418
ClC(=C)C=C,N=C,-2.57211068
CN(C)P(=O)(N(C)C)N(C)C,CCC1(C)CC(=O)NC(C1)=O,-11.99068828
OCCc1ccccc1,CCC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,-2.5637756
CCc1ccccc1,Clc1ccc(Cl)cc1,-6.44589589
CCCBr,FC(F)C(C)(C)C(F)(F)F,-3.56878293
CS(C)=O,CCC(F)C(F)C,-3.81245152
CC(OCc1ccccc1)=O,Cc1nccnc1C,-6.73335485
Brc1ccccc1,FCC(CF)CC,-4.12473053
c1cscc1,O=CCCCC=O,-7.54031772
CCCCN(CCCC)C=O,FC(F)(F)OCC(C(F)(F)F)C(F)(F)F,-4.06656391
CCOC(C)=O,C(COc1ccccc1)Oc2ccccc2,-13.27397177
ClCCl,FCC(CF)(CF)CC(F)(F)F,-5.34015042
C1OC1,CCOC(CF)CF,-5.92467105
Oc1cc(C)ccc1,OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,-27.34382467
C(c2ccccc2)c1ccccc1,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,-18.95794866
CCCCNCCCC,OC(CCC#C)=O,-8.71638908
CCC(C)=C,CC(CC(OCC=C)=O)=O,-7.28633759
CI,COc1c(C(O)=O)c(Cl)ccc1Cl,-11.14757665
Cc1ccccc1N(=O)=O,CCC(=O)NC,-7.213334599999999
O(Cc2ccccc2)Cc1ccccc1,FCC(OC)C(F)(F)C,-4.34086693
CCCCOCCCC,CC1CCC2C1CC(CCC2(O)C)C(C)=C,-10.972036300000001
CCC=C,CC(C)COCC(C)C,-5.68565957
OCCCCCCCCCCCC,c(cc3)ccc3C(n1ccnc1)c4ccc(cc4)c2ccccc2,-18.77039532
OCCC,O=CCCCC=O,-6.69068573
OCCOCCOCCO,OCCCCC,-5.92444765
OC(C)=O,Nc1ccccc1N,-10.541694699999999
ClC1CCCCC1,FC(F)Br,-2.72409034
CCOC(C)=O,CC(C)(Cl)C#C,-5.03142246
CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C,FC(F)(F)N(C(F)(F)F)CC=O,-3.21569296
N1CCCCC1,Clc1ccn(cc1)=O,-7.48729916
OCCCCCCC,CCC(CC(C)(C)c1ccccc1)=O,-9.21887516
CCCCc1ccccc1,CNC(C(C)C)C(F)(F)F,-4.64144572
CC(C)=O,CC1NCC(C)NC1,-6.72711371
CCCCOC(C)=O,CCC(CC)Nc(c(cc1C)N(=O)=O)c(c1C)N(=O)=O,-13.85753209
CC(C)CCC(C)(C)C,CCC(Cl)C(F)(F)Cl,-4.26002006
CCCCCCOC(C)=O,ClCC(F)(F)C(F)Cl,-5.0684886
N#CCCCC#N,COc1cccc(C(O)=O)c1OC,-12.36874582
COCCOCCO,CCCCCCCCCCCC(OO)=O,-8.91058703
CCCl,C=CCOC(COC1CCCCC1)=O,-10.5506605
CCOCC,ClC1=CC(=O)C=C(Cl)C1=O,-8.27341053
CC(Cl)(Cl)Cl,O=CCCc1ccccc1,-8.74727003
CI,OC(C)(C)C(O)=O,-7.0914931
CCCCCCCCCCCCCC,CCCCCCCCCCCCCC=O,-10.20622847
CCCCCCCl,COC(=O)c(cc1)ccc1O,-9.42629974
CC(C)c(cc1)ccc1C,CC(C)Cc1ccccc1,-6.56661725
CC(=O)c1ccccc1,CC(C)COC(=O)N,-7.69932144
ClC(Cl)(Cl)Cl,NNc2c1ccccc1cnn2,-11.60345374
NC(C)C,CC1(C)CC1,-2.62518593
OCCCC,FC(F)C(Cl)(Cl)C(F)F,-3.92332611
CN(C)C(C)=O,FCC(F)C(F)(C)Cl,-5.19443997
CCOP(OCC)(OCC)=O,CC(OC2CC3C1CCCC1C2C3)=O,-8.55576636
OCCCCC,c(ccc1no2)cc1n2,-6.72252431
OCCC(O)C,Cc1ccc(cc1)S(=O)c(cc2)ccc2C,-12.78155677
NCCCN,Oc1c(C)c(C)c(O)c(C)c1C,-14.78150879
NCC,N#N=O,-1.30256885
O(Cc2ccccc2)Cc1ccccc1,CCC(C)C(C)(C)C,-4.24230287
c1ccccc1,N#N=Nc1ccc(cc1)N(=O)=O,-9.2095867
CCCCCCCCCCC,FCOC(OC(F)(F)F)=O,-2.41953001
CCCCCCCCCC,FCC(F)(C)C(F)(F)F,-2.19961549
O=C1CCCC1,CCOC(F)(F)C(C(F)(F)F)C(F)(F)F,-4.64290653
OCCc1ccccc1,N#CC2(C#N)C1C=CC(C1)C2(C#N)C#N,-12.3442364
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Clc1cc(Cl)cnc1,-4.53296439
Oc1cc(C)ccc1,CNC(C)=CC(c1ccccc1)=O,-15.68230148
Ic1ccccc1,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-3.04355709
CC(C)OC(C)C,CCCC(F)(F)C(F)(F)C(F)F,-4.46333557
NC(C)C,Cc1cc(Br)ccc1,-6.790520599999999
N#Cc1ccccc1,Cc1nc(C)c(C)nc1C,-7.9815222000000015
C1OC1,O=C2C=Cc1ccccc1N2,-12.41224375
