molecule_id,gas_conformation,sol_conformation,num_atoms,atomic_numbers,gas_xyz,sol_xyz,dielectric_const,gas_energy,sol_energy,solvation_energy,gas_hlgap,sol_hlgap,gas_dipole,sol_dipole
13,Geom-m13-c1,Geom-m13-c1,8,"[6, 6, 17, 17, 1, 1, 1, 1]","[1.026319, -0.061085, -0.079441, 2.515513, -0.060419, -0.075402, 3.159601, 1.521885, 0.505797, 3.159588, -1.370269, 0.98563, 0.644689, 0.726729, -0.725395, 0.63905, 0.1049, 0.921792, 0.644686, -1.015199, -0.436615, 2.931424, -0.223042, -1.055586]","[1.021246, -0.061852, -0.079211, 2.511948, -0.061006, -0.079731, 3.164614, 1.524206, 0.508586, 3.164584, -1.371258, 0.989197, 0.643872, 0.726653, -0.72581, 0.637686, 0.105135, 0.922263, 0.643877, -1.014912, -0.437919, 2.933043, -0.223464, -1.056594]",78.4,-27176.486038,-27176.610314,-0.12427600000228267,8.283474,8.383418,0.458652,0.626887
14,Geom-m14-c1,Geom-m14-c1,10,"[6, 8, 6, 8, 6, 8, 17, 1, 1, 1]","[0.977628, 0.042449, 0.110235, 2.405436, 0.17409, 0.057689, 3.054795, -0.158387, 1.183499, 2.498596, -0.551057, 2.20434, 4.552916, -0.031287, 1.160422, 5.283878, 0.32298, 0.294309, 5.223959, -0.519316, 2.744517, 0.586392, 0.342268, -0.863064, 0.573678, 0.689035, 0.896494, 0.70806, -0.997505, 0.322999]","[0.964517, 0.041169, 0.108827, 2.406095, 0.169933, 0.07117, 3.051796, -0.157725, 1.181151, 2.50781, -0.556023, 2.217765, 4.550333, -0.030528, 1.158425, 5.287368, 0.323673, 0.294104, 5.229893, -0.517938, 2.740232, 0.596678, 0.345446, -0.869572, 0.567984, 0.692205, 0.890705, 0.702864, -0.996942, 0.318634]",78.4,-21814.058893,-21814.305788,-0.24689500000022235,5.379702,5.473355,0.657641,0.855684
14,Geom-m14-c2,Geom-m14-c2,10,"[6, 8, 6, 8, 6, 8, 17, 1, 1, 1]","[-1.666864, -0.199697, 0.02179, -0.332017, -0.046275, 0.518943, 0.63648, 0.082273, -0.412912, 0.420671, 0.072785, -1.615614, 1.991507, 0.235957, 0.233092, 3.054733, 0.370961, -0.268581, 1.895016, 0.198393, 2.038372, -2.330629, -0.279632, 0.883747, -1.731422, -1.104753, -0.591809, -1.937374, 0.670089, -0.586427]","[-1.678393, -0.19823, 0.019012, -0.326034, -0.042582, 0.503953, 0.63426, 0.079172, -0.410546, 0.437908, 0.064882, -1.62705, 1.986997, 0.236566, 0.237828, 3.054652, 0.383437, -0.261922, 1.892269, 0.186934, 2.034978, -2.320885, -0.275411, 0.894467, -1.73725, -1.105816, -0.585497, -1.943424, 0.67115, -0.584622]",78.4,-21814.032515,-21814.30241,-0.2698950000012701,5.696723,5.777088,0.740586,0.977415
15,Geom-m15-c1,Geom-m15-c1,8,"[6, 16, 8, 8, 17, 1, 1, 1]","[1.091307, -0.023221, 0.081711, 2.890356, -0.197326, 0.192682, 3.355665, 0.066842, 1.525628, 3.355564, -1.29468, -0.608848, 3.400114, 1.697796, -1.016185, 0.623375, -0.852906, 0.611206, 0.774191, -0.043908, -0.957616, 0.774298, 0.910705, 0.538303]","[1.079867, -0.023388, 0.083852, 2.869468, -0.199491, 0.194151, 3.365154, 0.068882, 1.520751, 3.36372, -1.28966, -0.609644, 3.432191, 1.706586, -1.022014, 0.622131, -0.860062, 0.615587, 0.768012, -0.050739, -0.958394, 0.764326, 0.911172, 0.54259]",78.4,-28528.151858,-28528.429209,-0.2773510000006354,6.140088,6.156963,0.870412,1.253786
15,Geom-m15-c2,Geom-m15-c2,8,"[6, 1, 1, 1, 16, 8, 8, 17]","[0.493947, 0.804772, 3.9e-05, 1.583051, 0.765345, 0.001212, 0.15897, 1.336788, 0.88657, 0.160833, 1.335459, -0.88799, -0.153619, -0.886344, 0.000623, 0.06854, -1.526243, 1.267205, 0.071165, -1.528125, -1.264538, -2.382887, -0.300654, -0.002122]","[0.501564, 0.813669, -0.000379, 1.592042, 0.763456, 0.00121, 0.168587, 1.344033, 0.889626, 0.169533, 1.343058, -0.89111, -0.144721, -0.868425, 0.001235, 0.058889, -1.532295, 1.264387, 0.061786, -1.533489, -1.261492, -2.40768, -0.329006, -0.002477]",78.4,-28528.151426,-28528.432736,-0.2813099999984843,6.140095,6.169359,0.870412,1.25095
16,Geom-m16-c1,Geom-m16-c1,10,"[6, 6, 8, 6, 8, 8, 1, 1, 1, 1]","[0.988785, 0.031649, 0.043448, 2.498461, -0.026703, 0.076213, 3.219475, 0.829432, -0.41817, 3.215993, -1.218628, 0.763731, 2.649874, -2.153968, 1.303355, 4.556477, -1.091019, 0.689978, 0.640329, 0.921457, -0.472186, 0.598992, 0.02384, 1.060935, 0.597704, -0.855102, -0.454508, 4.750312, -0.259659, 0.210266]","[0.985919, 0.032628, 0.041968, 2.487743, -0.031724, 0.077957, 3.222283, 0.819546, -0.418599, 3.215023, -1.215525, 0.763699, 2.659893, -2.164124, 1.31112, 4.549162, -1.084829, 0.688533, 0.649838, 0.928297, -0.470971, 0.597117, 0.022873, 1.059413, 0.593734, -0.851327, -0.457816, 4.755689, -0.254514, 0.207755]",78.4,-9311.651779,-9311.965311,-0.31353200000012293,5.330987,5.47056,0.549628,0.681654
17,Geom-m17-c1,Geom-m17-c1,10,"[6, 7, 6, 1, 1, 1, 1, 1, 1, 1]","[0.920871, -0.025215, -0.041772, 2.379645, -0.060904, -0.081699, 2.914486, -1.214666, -0.798383, 0.590738, 0.8498, 0.522511, 0.476985, -0.922189, 0.427003, 0.519818, 0.047837, -1.056266, 2.753454, -0.039349, 0.869393, 2.592944, -1.189032, -1.843051, 2.586086, -2.180557, -0.373461, 4.006142, -1.187954, -0.773676]","[0.918372, -0.025627, -0.042597, 2.384301, -0.050164, -0.083288, 2.917832, -1.214839, -0.800834, 0.583392, 0.842824, 0.526829, 0.489431, -0.92803, 0.424723, 0.516151, 0.045653, -1.054944, 2.75016, -0.037822, 0.868926, 2.59695, -1.188237, -1.844409, 2.578183, -2.171703, -0.372341, 4.006397, -1.194285, -0.771467]",78.4,-3675.233427,-3675.333181,-0.09975399999984802,6.774503,7.006976,0.203131,0.276792
18,Geom-m18-c1,Geom-m18-c1,9,"[6, 6, 8, 1, 1, 1, 1, 1, 1]","[0.952623, 0.024344, 0.073807, 2.478086, 0.025527, 0.068927, 2.998224, 1.343805, 0.012204, 0.565297, -0.990251, 0.136131, 0.559034, 0.478251, -0.834795, 0.566472, 0.587023, 0.920538, 2.853793, -0.569922, -0.790735, 2.869274, -0.443787, 0.983376, 2.562577, 1.832861, -0.697563]","[0.95233, 0.025791, 0.072563, 2.477553, 0.015727, 0.070368, 3.006518, 1.347203, 0.002637, 0.565415, -0.98732, 0.142156, 0.564072, 0.472098, -0.84044, 0.569612, 0.595267, 0.914212, 2.85603, -0.574375, -0.787586, 2.866788, -0.446248, 0.98725, 2.547063, 1.839708, -0.689269]",78.4,-4216.052162,-4216.225202,-0.17303999999967346,8.149226,8.513906,0.356456,0.456677
19,Geom-m19-c1,Geom-m19-c1,9,"[6, 6, 6, 7, 1, 1, 1, 1, 1]","[1.030033, 0.065224, 0.047806, 2.236701, 0.073437, 0.0098, 3.704266, 0.063967, 0.016517, 4.249895, -0.161974, -1.321502, -0.031867, 0.071733, 0.053307, 4.044557, -0.703946, 0.747014, 4.069642, 1.031441, 0.398094, 3.859417, -1.005284, -1.733299, 5.262047, -0.248738, -1.286539]","[1.0174, 0.084832, 0.057341, 2.225924, 0.07138, 0.007836, 3.694881, 0.04819, 0.011267, 4.246292, -0.174368, -1.336809, -0.048797, 0.105074, 0.071243, 4.030342, -0.730466, 0.727301, 4.069539, 1.006853, 0.396739, 3.927775, -1.067707, -1.70392, 5.261334, -0.157929, -1.2998]",78.4,-4676.753021,-4676.990677,-0.2376559999993333,7.120654,7.383752,0.316783,0.431559
20,Geom-m20-c1,Geom-m20-c1,8,"[6, 6, 8, 8, 1, 1, 1, 1]","[1.006204, 0.088211, -0.032421, 2.531235, 0.058086, -0.079164, 3.180223, -0.490404, -0.945062, 3.138066, 0.714036, 0.957841, 0.584901, -0.442148, -0.881047, 0.639393, 1.113812, -0.049652, 0.638994, -0.376821, 0.88172, 2.502994, 1.103888, 1.572816]","[1.002774, 0.085137, -0.035811, 2.515349, 0.063887, -0.070296, 3.177413, -0.491311, -0.945752, 3.132799, 0.709992, 0.950294, 0.592428, -0.446042, -0.888838, 0.634014, 1.109277, -0.054154, 0.633312, -0.379905, 0.875834, 2.533921, 1.117626, 1.593755]",78.4,-6229.778182,-6230.204653,-0.4264709999997649,7.894726,8.167948,0.92851,1.274918
21,Geom-m21-c1,Geom-m21-c1,10,"[6, 6, 6, 7, 8, 1, 1, 1, 1, 1]","[2.801608, -1.073506, -0.147449, 2.276951, 0.128033, 0.103986, 3.147334, 1.323019, 0.354847, 2.487795, 2.518206, 0.604871, 4.379781, 1.268942, 0.344144, 2.180712, -1.942914, -0.329963, 3.879426, -1.194365, -0.172153, 1.195486, 0.2651, 0.132083, 1.479861, 2.576696, 0.617105, 3.032577, 3.352168, 0.780279]","[2.805928, -1.070068, -0.146719, 2.270984, 0.129746, 0.105558, 3.13079, 1.324635, 0.355435, 2.488686, 2.516185, 0.60314, 4.381783, 1.26836, 0.344449, 2.182003, -1.93605, -0.328541, 3.882986, -1.183307, -0.171025, 1.191527, 0.259981, 0.133892, 1.475978, 2.567481, 0.614624, 3.050864, 3.344417, 0.776937]",78.4,-6724.776357,-6725.158231,-0.38187400000060734,6.208194,6.336968,0.758733,1.073812
21,Geom-m21-c2,Geom-m21-c2,10,"[6, 6, 6, 7, 8, 1, 1, 1, 1, 1]","[-1.481886, -0.001338, -0.475996, -0.726379, -0.248992, 0.596853, 0.771168, -0.199097, 0.64869, 1.455113, 0.221949, -0.485762, 1.386448, -0.548187, 1.659518, -1.055473, 0.271131, -1.436254, -2.562411, -0.072601, -0.430658, -1.20434, -0.531387, 1.532665, 0.969161, 0.716266, -1.221376, 2.4485, 0.392257, -0.387681]","[-1.486037, 0.02973, -0.466879, -0.725243, -0.266325, 0.592908, 0.763518, -0.163964, 0.647, 1.451669, 0.293236, -0.449962, 1.384404, -0.492583, 1.686224, -1.064348, 0.381806, -1.402448, -2.561995, -0.07654, -0.4225, -1.194, -0.619314, 1.506704, 0.967874, 0.562123, -1.2992, 2.464059, 0.351832, -0.391848]",78.4,-6724.713313,-6725.094234,-0.3809209999999439,6.078887,6.310452,0.835682,1.210794
22,Geom-m22-c1,Geom-m22-c1,7,"[6, 6, 6, 1, 1, 1, 1]","[1.077154, 0.075917, 0.060483, 2.284678, 0.075894, 0.060474, 3.738316, 0.075883, 0.060463, 0.015495, 0.075929, 0.060491, 4.123021, 0.579777, 0.948068, 4.123006, 0.592626, -0.81973, 4.12301, -0.944756, 0.053042]","[1.078464, 0.075564, 0.060373, 2.28858, 0.076508, 0.060676, 3.742633, 0.074826, 0.060161, 0.01241, 0.075971, 0.06049, 4.121051, 0.580161, 0.94764, 4.12091, 0.593013, -0.819176, 4.120632, -0.944772, 0.053125]",78.4,-3171.701506,-3171.824888,-0.1233820000002197,8.181978,8.463038,0.179899,0.229858
23,Geom-m23-c1,Geom-m23-c1,8,"[6, 6, 6, 8, 1, 1, 1, 1]","[1.143488, 0.086836, -0.056793, 2.351193, 0.074939, -0.036657, 3.822379, 0.081467, -0.049389, 4.335075, 1.394626, -0.165511, 0.080966, 0.092829, -0.051983, 4.181368, -0.554722, -0.889235, 4.214466, -0.360955, 0.881319, 3.776136, 1.915349, -0.75691]","[1.13631, 0.077883, -0.048939, 2.345984, 0.079918, -0.035423, 3.817705, 0.079665, -0.045472, 4.335762, 1.405735, -0.151283, 0.069152, 0.076882, -0.046102, 4.177917, -0.53938, -0.892405, 4.206195, -0.365804, 0.881947, 3.816047, 1.91547, -0.787483]",78.4,-5217.208198,-5217.446419,-0.2382209999996121,7.936828,8.11863,0.271672,0.352193
24,Geom-m24-c1,Geom-m24-c1,10,"[6, 6, 6, 6, 1, 1, 1, 1, 1, 1]","[1.044395, 0.058731, -0.060151, 2.251853, 0.052811, -0.071222, 3.715525, 0.048368, -0.079536, 4.297216, -0.618372, -1.323013, -0.017293, 0.062886, -0.05238, 4.074357, -0.466005, 0.821315, 4.074342, 1.083362, -0.009448, 3.976397, -1.654698, -1.394352, 5.38441, -0.600358, -1.289387, 3.976419, -0.104275, -2.225664]","[1.042033, 0.061006, -0.057471, 2.251927, 0.051859, -0.072621, 3.715933, 0.04798, -0.080364, 4.300809, -0.619717, -1.327385, -0.023947, 0.06577, -0.048026, 4.07142, -0.467577, 0.818934, 4.071267, 1.081648, -0.011918, 3.98236, -1.655639, -1.394344, 5.385202, -0.597515, -1.284319, 3.980616, -0.105364, -2.226325]",78.4,-4240.640165,-4240.76047,-0.12030500000037136,7.98904,8.25899,0.182679,0.239786
25,Geom-m25-c1,Geom-m25-c1,10,"[6, 6, 6, 8, 1, 1, 1, 1, 1, 1]","[1.084242, 0.142075, 0.03162, 2.547267, -0.265247, 0.200971, 3.34463, -0.464194, -1.087317, 3.047088, -0.4218, 1.295509, 0.546078, -0.607017, -0.547034, 1.013026, 1.083303, -0.511226, 0.599089, 0.25582, 0.99618, 2.889353, -1.241696, -1.698763, 4.370366, -0.74516, -0.869174, 3.348021, 0.451118, -1.677027]","[1.088588, 0.151848, 0.033052, 2.541756, -0.263254, 0.187875, 3.339573, -0.473925, -1.087257, 3.04825, -0.417353, 1.293484, 0.5625, -0.546615, -0.614228, 1.033419, 1.13025, -0.440354, 0.590869, 0.19644, 0.994941, 2.920424, -1.303918, -1.652774, 4.37736, -0.69359, -0.86103, 3.286422, 0.407318, -1.719971]",78.4,-5252.355434,-5252.572081,-0.21664700000019366,6.791909,6.877262,0.640655,0.857997
26,Geom-m26-c1,Geom-m26-c1,10,"[6, 6, 6, 16, 17, 1, 1, 1, 1, 1]","[1.082256, 0.030337, -0.112091, 2.600119, -0.122557, -0.012932, 3.088752, -1.396685, -0.605661, 3.762316, -2.641589, 0.20535, 2.893873, -1.500592, -2.354566, 0.77183, 0.974516, 0.328951, 0.578199, -0.775603, 0.415934, 0.754701, 0.015331, -1.14923, 2.905307, -0.061605, 1.035497, 3.076498, 0.712578, -0.539313]","[1.077428, 0.045217, -0.129326, 2.59469, -0.135811, 0.004226, 3.08653, -1.39795, -0.60018, 3.857404, -2.61257, 0.186048, 2.822335, -1.545026, -2.335882, 0.782452, 0.991096, 0.315564, 0.550715, -0.754389, 0.382934, 0.77486, 0.047359, -1.1717, 2.875794, -0.102866, 1.058215, 3.091643, 0.69907, -0.497961]",78.4,-26541.441296,-26541.53064,-0.08934399999998277,4.402715,4.459921,0.510458,0.705249
26,Geom-m26-c2,Geom-m26-c2,10,"[6, 6, 6, 16, 17, 1, 1, 1, 1, 1]","[-1.114446, 0.286551, 0.322052, 0.0392, -0.619878, -0.107607, 1.330527, 0.109961, -0.222928, 2.642473, -0.096003, 0.724483, 1.377991, 1.290548, -1.531126, -0.91544, 0.728885, 1.295273, -2.035742, -0.287077, 0.389335, -1.266469, 1.091647, -0.393411, 0.141975, -1.442584, 0.60559, -0.200069, -1.061951, -1.081662]","[-1.126857, 0.28908, 0.306431, 0.044214, -0.619417, -0.088718, 1.328807, 0.110775, -0.219067, 2.687036, -0.15304, 0.660338, 1.357035, 1.349279, -1.471867, -0.943391, 0.749989, 1.272831, -2.037574, -0.298192, 0.373415, -1.277341, 1.073805, -0.428226, 0.151992, -1.418238, 0.647036, -0.18392, -1.083942, -1.052174]",78.4,-26541.441405,-26541.531524,-0.09011900000041351,4.40269,4.460423,0.510458,0.705415
26,Geom-m26-c3,Geom-m26-c3,10,"[6, 1, 1, 1, 6, 6, 16, 17, 1, 1]","[-2.329509, -0.939001, -0.000693, -2.612273, -0.364385, 0.878054, -2.610896, -0.366223, -0.88108, -2.898073, -1.865655, -0.00017, -0.83815, -1.232601, 0.00078, 0.037663, -0.032407, 0.000213, -0.41755, 1.533244, -0.00176, 1.755819, -0.440731, 0.001964, -0.569317, -1.84727, -0.867616, -0.570676, -1.845457, 0.870876]","[-2.33314, -0.939259, -0.001239, -2.61366, -0.36524, 0.877937, -2.611149, -0.365953, -0.88135, -2.896594, -1.866506, -0.001394, -0.838214, -1.235018, 0.001925, 0.03434, -0.039224, -0.00031, -0.411532, 1.53699, 0.000191, 1.756517, -0.435385, -0.001219, -0.56825, -1.847251, -0.865593, -0.571279, -1.84364, 0.871621]",78.4,-26541.474369,-26541.5709,-0.09653099999923143,4.485051,4.546303,0.497187,0.695876
27,Geom-m27-c1,Geom-m27-c1,10,"[6, 6, 8, 8, 6, 8, 1, 1, 1, 1]","[1.021557, 0.043843, 0.053298, 2.526819, 0.043342, 0.116038, 3.203846, 0.035778, 1.126232, 3.116794, 0.052745, -1.144283, 4.516076, 0.05335, -1.22311, 5.066435, 0.061292, -2.290101, 0.596299, 0.036468, 1.052173, 0.664735, -0.829492, -0.490758, 0.664774, 0.925136, -0.477794, 5.021516, 0.045907, -0.220335]","[1.022271, 0.04487, 0.051641, 2.517992, 0.043518, 0.117144, 3.205039, 0.037903, 1.129662, 3.123393, 0.051356, -1.137689, 4.506945, 0.052695, -1.212959, 5.05524, 0.061085, -2.294325, 0.599187, 0.033571, 1.051368, 0.671298, -0.827957, -0.496581, 0.669795, 0.925663, -0.48124, 5.027689, 0.045667, -0.225661]",78.4,-9311.615109,-9311.901999,-0.2868899999994028,6.851983,6.918959,0.635582,0.822566
27,Geom-m27-c2,Geom-m27-c2,10,"[6, 6, 8, 8, 6, 8, 1, 1, 1, 1]","[-1.65986, -0.11451, -0.037184, -0.269159, 0.373639, 0.288444, 0.024413, 1.396251, 0.852143, 0.716079, -0.566268, -0.116934, 2.059292, -0.192427, -0.174559, 2.450219, 0.939832, -0.124472, -1.836237, -1.090668, 0.411811, -1.781851, -0.224717, -1.113834, -2.406369, 0.583457, 0.329985, 2.703373, -1.104689, -0.315398]","[-1.661507, -0.122634, -0.027235, -0.276924, 0.391149, 0.239854, 0.018264, 1.455301, 0.746818, 0.713431, -0.533038, -0.15148, 2.056076, -0.209168, -0.155014, 2.483904, 0.905447, 0.047868, -1.78834, -1.109147, 0.415447, -1.81712, -0.228084, -1.099929, -2.406352, 0.554903, 0.375524, 2.678468, -1.104828, -0.391851]",78.4,-9311.417721,-9311.741501,-0.32378000000062457,6.739118,6.688342,0.839013,1.162958
27,Geom-m27-c3,Geom-m27-c3,10,"[6, 6, 8, 8, 6, 8, 1, 1, 1, 1]","[0.646217, 1.458935, -0.164104, 0.93974, -0.00782, 0.013955, 2.019306, -0.47533, 0.279786, -0.131843, -0.940475, -0.206933, -1.452172, -0.604707, -0.113946, -1.861806, 0.484188, 0.222927, -2.104854, -1.48031, -0.375897, 1.583934, 2.003877, -0.246709, 0.095151, 1.848726, 0.69068, 0.046374, 1.642352, -1.052863]","[0.649458, 1.457956, -0.167709, 0.927526, -0.003773, 0.015264, 2.019714, -0.478921, 0.273919, -0.130359, -0.93034, -0.17557, -1.457758, -0.607903, -0.115679, -1.869267, 0.490971, 0.208, -2.100599, -1.479288, -0.376321, 1.593068, 1.993458, -0.23705, 0.090552, 1.846793, 0.682619, 0.057712, 1.640481, -1.060578]",78.4,-9311.457124,-9311.741589,-0.2844649999988178,7.123554,7.17644,0.389197,0.554391
27,Geom-m27-c4,Geom-m27-c4,10,"[6, 6, 8, 8, 6, 8, 1, 1, 1, 1]","[-1.307379, -1.367836, 0.002175, -1.030715, 0.126685, -0.043014, -1.898581, 0.964694, -0.135249, 0.302158, 0.563093, 0.025963, 1.388154, -0.278508, 0.130867, 2.510367, 0.149891, 0.187265, 1.129298, -1.381092, 0.157905, -0.837339, -1.890157, -0.830032, -2.380335, -1.526653, -0.060044, -0.950153, -1.816181, 0.928283]","[-1.315474, -1.369069, 0.003427, -1.028673, 0.111179, -0.041821, -1.88861, 0.971716, -0.13235, 0.301759, 0.548697, 0.025188, 1.386476, -0.285249, 0.129959, 2.508292, 0.172811, 0.186102, 1.154868, -1.382089, 0.158278, -0.841998, -1.888804, -0.828947, -2.389074, -1.518155, -0.065891, -0.962091, -1.8171, 0.930174]",78.4,-9311.353868,-9311.796639,-0.44277099999999336,7.066094,7.215004,0.964405,1.296345
29,Geom-m29-c1,Geom-m29-c1,7,"[8, 6, 17, 6, 17, 1, 1]","[1.242789, 0.5969, 0.415542, 2.258032, 0.058209, 0.121406, 2.843397, 0.318011, -1.558172, 3.05731, -0.850675, 0.99062, 4.777225, -0.941, 0.515534, 2.650703, -1.854838, 0.933468, 3.008704, -0.532598, 2.02374]","[1.189875, 0.507643, 0.371725, 2.254928, 0.037057, 0.113627, 2.890575, 0.41661, -1.52479, 3.057347, -0.846779, 0.996163, 4.766698, -0.999428, 0.476144, 2.629225, -1.842777, 0.996466, 3.049513, -0.478317, 2.012804]",78.4,-29189.409779,-29189.607979,-0.1981999999989057,6.780419,6.900776,0.448832,0.614986
